2011-03-15,00:00:12.212787,LoungeChair,ON
2011-03-15,00:00:14.425546,LoungeChair,OFF
2011-03-15,00:00:30.403317,LoungeChair,ON
2011-03-15,00:00:37.960186,LoungeChair,OFF
2011-03-15,00:00:44.143042,LoungeChair,ON
2011-03-15,00:00:55.89654,LoungeChair,OFF
2011-03-15,00:00:56.267213,LoungeChair,ON
2011-03-15,00:00:58.469309,LoungeChair,OFF
2011-03-15,00:01:00.274406,LoungeChair,ON
2011-03-15,00:01:02.70242,LoungeChair,OFF
2011-03-15,00:01:03.095432,LoungeChair,ON
2011-03-15,00:01:05.522442,LoungeChair,ON
2011-03-15,00:01:06.820688,LoungeChair,OFF
2011-03-15,00:01:07.943068,LoungeChair,ON
2011-03-15,00:01:08.016358,LivingRoom,ON
2011-03-15,00:01:08.09402,LivingRoom,ON
2011-03-15,00:01:09.147305,LivingRoom,OFF
2011-03-15,00:01:10.092012,LoungeChair,OFF
2011-03-15,00:01:10.702461,LivingRoom,OFF
2011-03-15,00:01:14.065381,LoungeChair,OFF
2011-03-15,00:01:15.925369,LoungeChair,ON
2011-03-15,00:01:16.299175,LivingRoom,ON
2011-03-15,00:01:17.84305,LivingRoom,OFF
2011-03-15,00:01:19.820951,LoungeChair,OFF
2011-03-15,00:01:20.668031,LoungeChair,ON
2011-03-15,00:01:22.195876,LivingRoom,ON
2011-03-15,00:01:22.788782,LoungeChair,OFF
2011-03-15,00:01:23.640365,LivingRoom,OFF
2011-03-15,00:01:25.731418,LoungeChair,ON
2011-03-15,00:01:29.641756,LoungeChair,OFF
2011-03-15,00:01:30.606512,LivingRoom,ON
2011-03-15,00:01:31.449505,LoungeChair,ON
2011-03-15,00:01:33.184392,LoungeChair,OFF
2011-03-15,00:01:35.089029,LoungeChair,ON
2011-03-15,00:01:35.24472,LivingRoom,OFF
2011-03-15,00:01:36.043833,LivingRoom,ON
2011-03-15,00:01:37.70713,LoungeChair,OFF
2011-03-15,00:01:37.841394,LivingRoom,ON
2011-03-15,00:01:38.68672,LivingRoom,OFF
2011-03-15,00:01:39.276811,LivingRoom,OFF
2011-03-15,00:01:41.425252,LoungeChair,ON
2011-03-15,00:01:41.492534,LivingRoom,ON
2011-03-15,00:01:42.489934,LivingRoom,ON
2011-03-15,00:01:43.430554,LivingRoom,OFF
2011-03-15,00:01:43.805968,LoungeChair,OFF
2011-03-15,00:01:44.41266,LoungeChair,ON
2011-03-15,00:01:46.707667,LivingRoom,OFF
2011-03-15,00:01:47.781578,LoungeChair,OFF
2011-03-15,00:01:48.581332,LivingRoom,ON
2011-03-15,00:01:51.950405,LivingRoom,OFF
2011-03-15,00:01:52.543458,LivingRoom,ON
2011-03-15,00:01:53.083571,LoungeChair,ON
2011-03-15,00:01:53.222367,LivingRoom,ON
2011-03-15,00:01:55.113205,LoungeChair,OFF
2011-03-15,00:01:55.501215,LoungeChair,ON
2011-03-15,00:01:57.603379,LivingRoom,OFF
2011-03-15,00:01:58.899213,LivingRoom,OFF
2011-03-15,00:02:01.421101,LivingRoom,ON
2011-03-15,00:02:02.482001,LoungeChair,OFF
2011-03-15,00:02:03.761831,LoungeChair,ON
2011-03-15,00:02:05.708943,LivingRoom,OFF
2011-03-15,00:02:05.848985,LivingRoom,ON
2011-03-15,00:02:06.59698,LoungeChair,OFF
2011-03-15,00:02:06.974241,LivingRoom,OFF
2011-03-15,00:02:07.350447,LivingRoom,ON
2011-03-15,00:02:15.260741,LivingRoom,ON
2011-03-15,00:02:16.09725,LivingRoom,OFF
2011-03-15,00:02:16.702623,LivingRoom,OFF
2011-03-15,00:02:18.348058,LoungeChair,ON
2011-03-15,00:02:18.724277,LivingRoom,ON
2011-03-15,00:02:20.019054,LivingRoom,ON
2011-03-15,00:02:20.417964,LoungeChair,OFF
2011-03-15,00:02:21.233369,LoungeChair,ON
2011-03-15,00:02:23.956101,LoungeChair,OFF
2011-03-15,00:02:25.102187,LoungeChair,ON
2011-03-15,00:02:26.151199,LoungeChair,OFF
2011-03-15,00:02:26.532002,LivingRoom,OFF
2011-03-15,00:02:26.929395,LivingRoom,OFF
2011-03-15,00:02:27.731413,LivingRoom,ON
2011-03-15,00:02:28.110068,LivingRoom,ON
2011-03-15,00:02:28.958762,LoungeChair,ON
2011-03-15,00:02:31.869307,LivingRoom,ON
2011-03-15,00:02:32.489047,LoungeChair,ON
2011-03-15,00:02:32.855347,LivingRoom,OFF
2011-03-15,00:02:34.144468,LoungeChair,OFF
2011-03-15,00:02:35.218842,LivingRoom,OFF
2011-03-15,00:02:37.302208,LivingRoom,ON
2011-03-15,00:02:38.579823,LivingRoom,OFF
2011-03-15,00:02:40.346276,LoungeChair,ON
2011-03-15,00:02:41.187031,LivingRoom,ON
2011-03-15,00:02:42.011674,LoungeChair,OFF
2011-03-15,00:02:43.553313,LoungeChair,ON
2011-03-15,00:02:44.153012,LivingRoom,ON
2011-03-15,00:02:46.055077,LoungeChair,OFF
2011-03-15,00:02:46.123439,LivingRoom,OFF
2011-03-15,00:02:46.580175,LoungeChair,OFF
2011-03-15,00:02:49.389762,LivingRoom,OFF
2011-03-15,00:02:49.996403,OtherRoom,ON
2011-03-15,00:02:51.498422,Bedroom,ON
2011-03-15,00:02:52.671137,OtherRoom,OFF
2011-03-15,00:02:52.827914,Bedroom,ON
2011-03-15,00:02:52.964209,LivingRoom,OFF
2011-03-15,00:02:53.6512,Bedroom,OFF
2011-03-15,00:02:54.044668,Bedroom,ON
2011-03-15,00:02:56.212813,Bedroom,OFF
2011-03-15,00:02:56.813147,Bedroom,ON
2011-03-15,00:03:03.07201,Bedroom,OFF
2011-03-15,00:03:04.864452,Bedroom,OFF
2011-03-15,00:03:06.788928,Bedroom,ON
2011-03-15,00:03:09.479579,Bedroom,OFF
2011-03-15,00:03:15.222921,Bedroom,ON
2011-03-15,00:03:16.961764,Bedroom,OFF
2011-03-15,00:03:22.435638,Bedroom,ON
2011-03-15,00:03:23.040757,Bedroom,ON
2011-03-15,00:03:23.436734,LivingRoom,ON
2011-03-15,00:03:23.973329,OtherRoom,ON
2011-03-15,00:03:24.04209,Bedroom,OFF
2011-03-15,00:03:25.148321,Bedroom,OFF
2011-03-15,00:03:25.972481,OtherRoom,OFF
2011-03-15,00:03:29.831251,LivingRoom,OFF
2011-03-15,00:03:35.157212,LivingRoom,ON
2011-03-15,00:03:38.739009,OtherRoom,ON
2011-03-15,00:03:41.614442,LivingRoom,OFF
2011-03-15,00:03:42.144605,OtherRoom,OFF
2011-03-15,00:03:42.212023,Bedroom,ON
2011-03-15,00:03:42.6642,Bedroom,ON
2011-03-15,00:03:44.452531,Bedroom,OFF
